
2017-12-11 02:10:37 20.694737585; 20.7999992371; 20.7000007629; 20.7999992371; 20.6000003815; 20.7105269181; 20.6210530934; 20.7000007629; 20.0578951083; 76.3842106869; 73.6105254324; 79.1842105263; 83.5947353965; 83.4315788871; 74.3947372437; 73.8789484124; 83.0999996788; 251.557889436; 0 
2017-12-11 02:15:34 20.6388894187; 20.7999992371; 20.7000007629; 20.7999992371; 20.6000003815; 20.7000007629; 20.6055559582; 20.7000007629; 20.6000003815; 76.0500005086; 73.355556488; 78.7944441901; 83.3388888041; 87.2388882107; 74.0722211202; 73.6888885498; 82.8222211202; 81.0; 0 
2017-12-11 02:20:43 20.6000003815; 20.7699996948; 20.7000007629; 20.7999992371; 20.6000003815; 20.6900007248; 20.5950003624; 20.6450005531; 20.5850003242; 76.2249988556; 73.4250011444; 78.9300010681; 83.5149997711; 87.25; 74.1449996948; 73.8450008392; 83.1099998474; 81.1700000763; 0 
2017-12-11 02:25:56 20.6000003815; 20.7000007629; 20.7000007629; 20.7777773539; 20.6000003815; 20.611111535; 20.588889228; 20.6000003815; 20.5166667302; 76.2666672601; 73.5333328247; 78.9555562337; 83.5888875326; 87.2888912625; 74.2777786255; 74.1166648865; 83.4333343506; 81.3166694641; 0 
2017-12-11 02:30:53 20.6000003815; 20.7000007629; 20.6809530712; 20.7000007629; 20.5095238459; 20.6000003815; 20.5047619229; 20.6000003815; 20.5; 76.2666676839; 73.4904763358; 78.9142870222; 83.5666656494; 86.1095263163; 74.1714259556; 74.0047618321; 83.1714274089; 81.2333323161; 0 
2017-12-11 02:36:00 20.5777780745; 20.7000007629; 20.6222226885; 20.6944451862; 20.455555386; 20.0277781487; 20.5; 20.5555557675; 20.4611109628; 76.2166671753; 73.4333343506; 78.8277774387; 83.5111109416; 87.3333350288; 254.083326552; 73.9388898214; 82.9722226461; 81.2055558099; 0 
2017-12-11 02:41:13 20.5526317797; 20.7000007629; 20.6000003815; 20.684211229; 20.3999996185; 20.5736844916; 20.5; 20.5105263559; 20.4473682203; 76.0; 73.2684209723; 78.6368400172; 83.3368441933; 87.2631586978; 74.0052630776; 73.7368413022; 82.7473682604; 81.0473676983; 0 
2017-12-11 02:46:11 20.5368422458; 20.0736846422; 19.5157898351; 20.6526321612; 20.3999996185; 20.505263178; 20.4631577542; 20.5; 20.4052627965; 75.873686138; 243.721045243; 419.378956443; 83.178945441; 87.126313862; 73.9789476897; 73.7105263158; 82.7526321411; 80.9842107672; 0 
2017-12-11 02:51:11 20.5111111535; 20.6055559582; 20.5722224977; 20.6055559582; 20.3999996185; 20.5; 20.4388886558; 20.5; 20.3999996185; 75.7277768453; 73.1166648865; 78.4666667514; 83.0111109416; 86.9666671753; 73.9388898214; 73.6111098395; 82.5944434272; 80.9722226461; 0 
2017-12-11 02:56:11 20.5; 20.6000003815; 20.5095238459; 20.6000003815; 20.3523803893; 20.4904761541; 18.9428567886; 20.4809523083; 20.3190469288; 75.2809520903; 72.8000008719; 78.0285713559; 82.619047619; 86.6476175217; 73.6809517997; 71.5476197742; 82.1761906942; 80.680952163; 0 
2017-12-11 03:01:16 20.5; 20.5952384585; 20.5; 20.6000003815; 20.3619042351; 20.4285711561; 20.3952376956; 20.3999996185; 20.2999992371; 75.1047603062; 72.7619062151; 77.9666671753; 82.4761908395; 86.4952381679; 73.5142854963; 73.2714298793; 82.1095221383; 80.5619038173; 0 
2017-12-11 03:06:39 20.5; 20.5954549096; 20.5; 20.6000003815; 20.3499994278; 20.4045450904; 20.381817731; 20.3999996185; 20.2999992371; 75.1409069408; 72.7545460788; 77.9409096458; 82.5; 86.4727276889; 73.5272723111; 73.259091464; 82.1318165172; 80.5499992371; 0 
2017-12-11 03:11:32 20.4952380771; 20.104762259; 20.5; 20.6000003815; 20.3619042351; 20.4190473102; 20.3285707746; 20.3999996185; 20.2999992371; 75.142854963; 227.042855399; 77.8571428571; 82.5571419852; 86.5190473284; 73.5190473284; 73.2428570702; 82.1428578695; 80.5714274815; 0 
2017-12-11 03:16:36 20.4809523083; 20.5714288439; 20.5; 20.5857146127; 20.30476116; 20.3999996185; 20.2999992371; 20.3999996185; 20.2999992371; 75.0857129778; 72.6380931309; 77.7666684105; 82.4952381679; 86.4952381679; 73.4238106864; 73.190473284; 82.0761893136; 80.5238091605; 0 
2017-12-11 03:21:35 20.4411762462; 20.5058823754; 20.4882352492; 20.5588237538; 20.2999992371; 20.3999996185; 20.3058816124; 20.3941172431; 20.2529411316; 75.0176467896; 72.6352920532; 77.6941173778; 82.435295105; 86.4764709473; 73.5294113159; 73.1705860811; 82.0058822632; 80.5; 0 
2017-12-11 03:26:42 19.8117643805; 20.5; 19.8176467559; 20.5; 20.2999992371; 20.3999996185; 20.2999992371; 20.3941172431; 20.2176475525; 265.505885853; 72.5705871582; 268.111768386; 82.3941192627; 86.4588241577; 73.5058822632; 73.1117625517; 82.0176467896; 80.5; 0 
2017-12-11 03:31:47 20.3999996185; 20.5; 20.4277775023; 20.5; 20.2888882955; 20.3999996185; 20.2999992371; 20.3833328883; 20.2055562337; 75.0499992371; 72.5333328247; 77.6444430881; 82.422223409; 86.4777781169; 73.4388898214; 73.1666641235; 82.0611101786; 80.5277773539; 0 
2017-12-11 03:36:56 20.3999996185; 20.5; 20.4099996567; 20.5; 20.2549999237; 20.3999996185; 20.2849994659; 20.3449994087; 20.2000007629; 75.2249992371; 72.6449981689; 77.8250015259; 82.6449981689; 86.584998703; 73.5299995422; 73.3350021362; 82.2800014496; 80.6449985504; 0 
